Date,Date_YMD,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
29-Apr-21,2021-04-29,Recovered,291727,37,8188,47,1797,10926,447,16489,138,0,25615,914,9544,9535,1241,1617,4755,14142,21116,192,45,13363,68537,314,129,90,29,4679,565,5059,10964,22,15542,4009,13,25613,3129,12885,0
29-Apr-21,2021-04-29,Deceased,3502,0,57,1,26,89,8,251,0,0,395,36,180,97,40,26,145,270,48,1,3,95,771,5,2,0,0,12,12,137,158,3,107,58,0,295,85,89,0
30-Apr-21,2021-04-30,Confirmed,402014,74,17354,163,3197,15853,724,14994,192,0,27047,3024,14605,13833,2358,3532,5961,48296,37199,103,105,12400,62919,271,229,140,226,8681,1195,6063,17155,205,18692,7646,141,34372,5654,17411,0
30-Apr-21,2021-04-30,Recovered,299198,58,8468,49,2449,11194,457,13677,325,0,25288,955,10180,9348,1734,1287,4002,14884,17500,247,56,13584,69710,74,166,44,12,5014,653,5106,10034,19,16007,5926,50,32494,4215,13932,0
30-Apr-21,2021-04-30,Deceased,3525,0,64,0,26,80,13,269,0,0,375,22,173,98,37,30,120,217,49,3,0,97,828,5,2,2,4,14,12,113,155,1,113,53,0,332,122,96,0
01-May-21,2021-05-01,Confirmed,392576,97,19412,217,3453,13789,799,15902,212,0,25219,2303,13847,13588,2751,3832,6323,40990,35636,117,156,12379,63282,319,262,113,158,10413,1379,7017,17652,259,19588,7754,173,30180,5493,17512,0
01-May-21,2021-05-01,Recovered,308688,72,11579,56,2229,10905,472,13532,280,0,27421,1310,10582,8509,1224,1801,5433,18341,15493,166,41,14562,61326,79,192,0,44,5634,623,4448,11676,41,17164,6542,67,38826,3644,14374,0
01-May-21,2021-05-01,Deceased,3685,1,61,0,23,82,11,229,0,0,412,54,172,125,28,47,169,271,48,1,0,102,802,5,3,0,3,11,12,138,160,1,147,51,2,304,107,103,0
02-May-21,2021-05-02,Confirmed,370090,38,23920,102,2385,13534,860,11825,161,0,20394,2030,12978,13322,2453,3571,4738,37733,31959,140,87,12662,56647,256,321,152,216,8015,1360,7280,18298,230,20768,7430,247,30857,5606,17515,0
02-May-21,2021-05-02,Recovered,300004,25,11411,83,2831,11694,483,12358,260,0,24444,1255,11146,10423,1614,1453,4541,21148,16296,193,275,13890,51356,80,154,120,27,6527,987,5244,11262,68,17576,5567,41,36650,2935,15587,0
